2020.07.27 13:48:29 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\codeigniter' for client vscode.
2020.07.27 13:48:34 INFO  time: initialize in 5.41s
2020.07.27 13:48:38 WARN  no build tool detected in workspace 'C:\wamp64\www\codeigniter'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.27 22:57:35 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\codeigniter' for client vscode.
2020.07.27 22:57:39 INFO  time: initialize in 3.79s
2020.07.27 22:57:52 WARN  no build tool detected in workspace 'C:\wamp64\www\codeigniter'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.30 14:49:21 INFO  started: Metals version 0.9.2 in workspace 'C:\xampp\htdocs\codeigniter' for client vscode.
2020.07.30 14:49:25 INFO  time: initialize in 4.39s
2020.07.30 14:49:33 WARN  no build tool detected in workspace 'C:\xampp\htdocs\codeigniter'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.08.01 11:25:49 INFO  started: Metals version 0.9.2 in workspace 'C:\xampp\htdocs\codeigniter' for client vscode.
2020.08.01 11:25:53 INFO  time: initialize in 3.34s
2020.08.01 11:26:01 WARN  no build tool detected in workspace 'C:\xampp\htdocs\codeigniter'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.08.01 15:26:02 INFO  started: Metals version 0.9.2 in workspace 'C:\xampp\htdocs\codeigniter' for client vscode.
2020.08.01 15:26:06 INFO  time: initialize in 4.38s
2020.08.01 15:26:13 WARN  no build tool detected in workspace 'C:\xampp\htdocs\codeigniter'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
